Time,Temperature,Humidity,Speed,Direction,Rain,Sunlight,PM2.5,PM10
00:00:46,30.32,55.99,0,90,0,0,6,10
00:01:48,30.32,56.01,0,90,0,0,6,10
00:02:51,30.32,56.05,0,90,0,0,6,10
00:03:54,30.33,56.03,0,90,0,0,6,10
00:04:56,30.32,56.09,0,90,0,0,6,10
00:05:59,30.32,56.14,0,90,0,0,6,10
00:07:01,30.32,56.09,0,90,0,0,5,10
00:08:04,30.32,56.09,0,90,0,0,6,10
00:09:08,30.32,56.05,0,90,0,0,6,10
00:10:09,30.32,56.18,0,90,0,0,5,10
00:11:12,30.32,56.15,0,90,0,0,7,10
00:12:15,30.32,56.1,0,90,0,0,7,10
00:13:16,30.32,56.16,0,90,0,0,5,10
00:14:19,30.32,56.16,0,90,0,0,6,10
00:15:23,30.32,56.14,0,90,0,0,5,10
00:16:24,30.32,56.18,0,90,0,0,7,10
00:17:27,30.32,56.33,0,90,0,0,7,10
00:18:31,30.32,56.38,0,90,0,0,6,10
00:19:32,30.32,56.26,0,90,0,0,6,10
00:20:35,30.32,56.22,0,90,0,0,6,10
00:21:39,30.32,56.14,0,90,0,0,6,10
00:22:40,30.32,56.16,0,90,0,0,5,10
00:23:42,30.32,56.18,0,90,0,0,4,10
00:24:46,30.32,56.21,0,90,0,0,6,10
00:25:47,30.32,56.31,0,90,0,0,6,10
00:26:50,30.32,56.33,0,90,0,0,6,10
00:27:54,30.32,56.3,0,90,0,0,6,10
00:28:55,30.33,56.24,0,90,0,0,6,10
00:29:57,30.32,56.37,0,90,0,0,7,10
00:31:01,30.32,56.28,0,90,0,0,6,10
00:33:05,30.32,56.28,0,90,0,0,5,10
00:34:08,30.33,56.4,0,90,0,0,5,10
00:35:12,30.33,56.38,0,90,0,0,5,10
00:36:13,30.33,56.33,0,90,0,0,8,10
00:37:16,30.33,56.46,0,90,0,0,6,10
00:38:20,30.33,56.38,0,90,0,0,6,10
00:39:21,30.33,56.41,0,90,0,0,5,10
00:40:23,30.33,56.34,0,90,0,0,7,10
00:41:27,30.33,56.42,0,90,0,0,6,10
00:42:29,30.33,56.38,0,90,0,0,5,10
00:43:31,30.33,56.46,0,90,0,0,6,10
00:44:35,30.33,56.45,0,90,0,0,6,10
00:45:36,30.33,56.48,0,90,0,0,5,10
00:46:39,30.33,56.51,0,90,0,0,5,10
00:47:43,30.33,56.57,0,90,0,0,5,10
00:48:44,30.33,56.6,0,90,0,0,5,10
00:49:47,30.33,56.55,0,90,0,0,6,10
00:50:51,30.33,56.58,0,90,0,0,6,10
00:51:52,30.33,56.56,0,90,0,0,6,10
00:52:54,30.33,56.53,0,90,0,0,6,10
00:53:57,30.32,56.56,0,90,0,0,6,10
00:55:00,30.33,56.65,0,90,0,0,6,10
00:56:04,30.33,56.75,0,90,0,0,5,10
00:57:06,30.33,56.73,0,90,0,0,6,10
00:58:09,30.33,56.75,0,90,0,0,5,10
00:59:11,30.33,56.78,0,90,0,0,6,10
01:00:15,30.33,56.8,0,90,0,0,5,10
01:01:16,30.33,56.87,0,90,0,0,6,10
01:02:18,30.33,56.86,0,90,0,0,5,10
01:03:21,30.33,56.77,0,90,0,0,4,10
01:04:24,30.33,56.87,0,90,0,0,6,10
01:05:28,30.33,56.92,0,90,0,0,5,10
01:06:29,30.33,56.81,0,90,0,0,5,10
01:07:32,30.33,56.82,0,90,0,0,5,10
01:08:35,30.33,56.82,0,90,0,0,5,10
01:09:37,30.33,56.85,0,90,0,0,5,10
01:10:40,30.33,56.88,0,90,0,0,5,10
01:11:43,30.33,56.97,0,90,0,0,5,10
01:12:44,30.33,56.87,0,90,0,0,5,10
01:13:47,30.33,56.85,0,90,0,0,6,10
01:14:51,30.33,56.96,0,90,0,0,7,10
01:15:52,30.33,56.92,0,90,0,0,5,10
01:16:54,30.33,56.95,0,90,0,0,5,10
01:17:58,30.33,56.93,0,90,0,0,5,10
01:19:00,30.33,56.89,0,90,0,0,5,10
01:20:03,30.33,56.99,0,90,0,0,5,10
01:21:06,30.34,57.01,0,90,0,0,5,10
01:22:08,30.34,56.95,0,90,0,0,5,10
01:23:13,30.33,57.05,0,90,0,0,5,10
01:24:14,30.34,57,0,90,0,0,5,10
01:25:18,30.33,57.07,0,90,0,0,5,10
01:26:19,30.33,57.09,0,90,0,0,6,10
01:27:21,30.33,57.17,0,90,0,0,6,10
01:28:25,30.33,57.17,0,90,0,0,5,10
01:29:27,30.33,57.21,0,90,0,0,5,10
01:30:29,30.33,57.22,0,90,0,0,5,10
01:31:32,30.33,57.1,0,90,0,0,5,10
01:32:36,30.33,57.17,0,90,0,0,5,10
01:33:37,30.33,57.05,0,90,0,0,5,10
01:34:40,30.33,57.13,0,90,0,0,6,10
01:35:44,30.33,57.13,0,90,0,0,5,10
01:36:46,30.33,57.19,0,90,0,0,5,10
