Time,Temperature,Humidity,Speed,Direction,Rain,Sunlight,PM2.5,PM10
00:00:26,30.66,57.26,0,90,0,0,6,10
00:01:29,30.66,57.23,0,90,0,0,6,10
00:02:32,30.65,57.2,0,90,0,0,6,10
00:03:33,30.65,57.18,0,90,0,0,7,10
00:04:36,30.65,57.2,0,90,0,0,7,10
00:05:39,30.66,57.21,0,90,0,0,6,10
00:06:40,30.66,57.26,0,90,0,0,6,10
00:07:43,30.66,57.25,0,90,0,0,6,10
00:08:47,30.65,57.23,0,90,0,0,6,10
00:09:49,30.66,57.25,0,90,0,0,7,10
00:10:50,30.65,57.28,0,90,0,0,6,10
00:11:54,30.65,57.26,0,90,0,0,6,10
00:12:54,30.65,57.31,0,90,0,0,6,10
00:13:57,30.65,57.35,0,90,0,0,7,10
00:15:01,30.66,57.43,0,90,0,0,5,10
00:16:03,30.65,57.61,0,90,0,0,6,10
00:17:05,30.65,57.4,0,90,0,0,6,10
00:18:09,30.65,57.38,0,90,0,0,7,10
00:20:13,30.65,57.36,0,90,0,0,5,10
00:21:15,30.65,57.49,0,90,0,0,6,10
00:22:19,30.65,57.38,0,90,0,0,8,10
00:23:20,30.65,57.45,0,90,0,0,6,10
00:24:23,30.65,57.41,0,90,0,0,6,10
00:25:25,30.64,57.51,0,90,0,0,6,10
00:26:28,30.65,57.49,0,90,0,0,6,10
00:27:32,30.65,57.48,0,90,0,0,6,10
00:28:34,30.65,57.43,0,90,0,0,6,10
00:29:36,30.65,57.47,0,90,0,0,6,10
00:30:39,30.65,57.3,0,90,0,0,5,10
00:31:41,30.65,57.41,0,90,0,0,6,10
00:32:43,30.65,57.37,0,90,0,0,6,10
00:33:46,30.65,57.38,0,90,0,0,6,10
00:34:48,30.65,57.4,0,90,0,0,7,10
00:35:51,30.65,57.44,0,90,0,0,6,10
00:36:54,30.65,57.45,0,90,0,0,7,10
00:37:58,30.65,57.4,0,90,0,0,6,10
00:38:59,30.64,57.5,0,90,0,0,7,10
00:40:02,30.65,57.49,0,90,0,0,6,10
00:41:05,30.65,57.51,0,90,0,0,7,10
